상점 이름,위도,경도,지번주소,도로명주소
커피빈(정대후문점),37.58699209,127.0295779,,서울특별시 성북구 개운사길 8 타이거빌딩
하이픈,37.58654448,127.0323086,,서울특별시 성북구 인촌로 117
핸썸 베이글,37.58723016,127.028722,,서울특별시 성북구 개운사1길 23
BHC치킨,37.58908788,127.0357789,,서울특별시 동대문구 안암로 164
Caf? Cook,,,,
거북이 식당,,,,
고대다횟집,37.58837439,127.0354615,,서울특별시 동대문구 안암로24길 8
고래돈가스,37.58837092,127.0350313,,서울특별시 동대문구 안암로 154
고려식촌,,,,
고씨네,37.58866994,127.0353756,,서울특별시 동대문구 안암로 158-1 1층
골목국수,37.58786987,127.0353571,,서울특별시 동대문구 제기로5길 36
광주식당,37.58802128,127.0352032,,서울특별시 동대문구 제기로5길 35
교촌치킨,37.58866994,127.0353756,,서울특별시 동대문구 안암로 158-1
국수사랑,37.58786987,127.0353571,,서울특별시 동대문구 제기로5길 36
국시랑,,,,
금복식당,37.58736541,127.0350172,,서울특별시 동대문구 안암로20길 16
꿀돼지 석쇠구이,,,,
나그네파전,37.58672059,127.0340251,,서울특별시 동대문구 제기로 9-3
다손김밥,37.58802505,127.0346461,,서울특별시 동대문구 안암로 148-1
닭곰탕칼국수,37.58802128,127.0352032,,서울특별시 동대문구 제기로5길 35
동네아저씨치킨,37.58843211,127.0352894,,서울특별시 동대문구 안암로24길 4
동대문곱창,37.58837439,127.0354615,,서울특별시 동대문구 안암로24길 8
동원김밥분식,,,,
뚱땡이,37.58820504,127.0353437,,서울특별시 동대문구 안암로22길 9
류 두번째 이야기,,,,
멕시카나,37.58663392,127.034641,,서울특별시 동대문구 제기로 15
미당,37.58682146,127.0341565,,서울특별시 동대문구 제기로 9-6
바글바글돈가스,,,,
비나,,,,
서울감자탕해장국,,,,
스시정,37.58794555,127.0353617,,서울특별시 동대문구 제기로5길 38
예손,37.58829159,127.0351535,,서울특별시 동대문구 안암로22길 5
옐로우 피자,,,,
원조공갈빵,,,,
원조족발보쌈,,,,
원주통닭,,,,
육등신,37.5887456,127.0354617,,서울특별시 동대문구 안암로 160
이수영피자,37.5885618,127.0354525,,서울특별시 동대문구 안암로24길 5 2층
정다래 함박스텍,37.58788093,127.0345102,,서울특별시 동대문구 안암로 146-1
주전부리,,,,
중국관,37.58633818,127.0353654,,서울특별시 동대문구 제기로 22
최고성,37.58879243,127.0355251,,서울특별시 동대문구 안암로 160-1
치킨필레오,37.58843211,127.0352894,,서울특별시 동대문구 안암로24길 4
코케코코 돈부리,37.5885618,127.0354525,,서울특별시 동대문구 안암로24길 5
큰집대학식당,,,,
토마토도시락,37.5886087,127.0352895,,서울특별시 동대문구 안암로 158
튄닥 꾼닥,,,,
해마루(1층),37.58794555,127.0353617,,서울특별시 동대문구 제기로5길 38
해마루(2층),37.58794555,127.0353617,,서울특별시 동대문구 제기로5길 38
해적수산,,,,
호미,,,,
홍도夜빈대떡,37.58661253,127.0338394,,서울 동대문구 제기동 137-144
류 첫번째 이야기,37.5880286,127.0348318,,서울특별시 동대문구 안암로20길 7-15
미뇽,,,,
Biere et Frites,,,,
BUNKER,37.58822666,127.0353392,,서울특별시 동대문구 제기동 137-38
고모집,,,,
안주나라,37.58802128,127.0352032,,서울특별시 동대문구 제기로5길 35
통큰 노가리포차,,,,
ZERO TO ONE COFFEE,,,,
뚜이,37.58901944,127.0356747,,서울특별시 동대문구 안암로 162-1
문뒤엔,37.58779805,127.0344513,,서울특별시 동대문구 안암로 146
세렌디피티,37.5881007,127.0347458,,서울특별시 동대문구 안암로 150
소소한 카페,,,,
어글리머그,37.58762871,127.0343108,,서울특별시 동대문구 안암로 144
카페브레송,37.58817629,127.035081,,서울특별시 동대문구 안암로22길 6
해머,37.58802505,127.0346461,,서울특별시 동대문구 안암로 148-1
59쌀피자 고대사거리점,37.58619835,127.0328564,,서울특별시 동대문구 안암로 122-1
Chicken Tonkasu,,,,
고대앞원조멸치국수,37.58625594,127.0331055,,서울특별시 동대문구 제기로 2
김가네,37.58280053,127.0301242,,서울특별시 동대문구 약령시로 3
김밥천국(제기동),37.58628472,127.0332776,,서울특별시 동대문구 제기로 2-1
닭한마리 호정,37.58562878,127.0333362,,서울특별시 동대문구 안암로 18가길 32
도미노피자,37.58320413,127.0302964,,서울특별시 동대문구 안암로 82
또봉이통닭,37.58610106,127.0327794,,서울특별시 동대문구 안암로 122
량서상사,,,,
미쳐버린 파닭,37.58613702,127.0330511,,서울특별시 동대문구 제기로2길 4 2층
병천 순대국,,,,
부산식당,,,,
불닭발땡초동대문 엽기떡볶이,,,,
삼시네끼,,,,
소문난 보배곱창,,,,
숯불 생고기,37.5858524,127.0327385,,서울특별시 동대문구 안암로 118-5
신원오리,37.5831461,127.0317003,,서울특별시 동대문구 약령시로 25
안암동 쪽갈비,37.58584867,127.0331823,,서울특별시 동대문구 제기로2길 14
야순네식당,,,,
옹골진 치킨,37.58351039,127.0305819,,서울특별시 동대문구 안암로 86-1 서울제기2동 우편 취급소
잭아저씨 족발&보쌈,37.58339511,127.0304143,,서울특별시 동대문구 안암로 86
전주식당,37.58597846,127.0330194,,서울특별시 동대문구 제기로2길 6
진미식당,37.5859712,127.0331914,,서울특별시 동대문구 제기로2길 8
청룡분식,37.58628472,127.0332776,,서울특별시 동대문구 제기로 2-1
칠백집,37.5831461,127.0317003,,서울특별시 동대문구 약령시로 25
특별식당,37.58578014,127.0333816,,서울특별시 동대문구 제기로2길 15
포 하롱,,,,
피칸테타코,37.58305638,127.030233,,서울특별시 동대문구 안암로 80-1
학사호프,37.58613702,127.0330511,,서울특별시 동대문구 제기로2길 4
현 고대닭발,37.58536533,127.0346041,,서울특별시 동대문구 제기로2가길 3
형제떡집,,,,
대성집,37.58580508,127.0343643,,서울특별시 동대문구 제기로6길 14
부산집,37.5858627,127.0345274,,서울특별시 동대문구 제기로6길 11
전주집,,,,
제기집,37.58571853,127.0345771,,서울특별시 동대문구 제기로6가길 3
제일집,37.5844364,127.0313929,,서울특별시 동대문구 안암로 98
충주집,37.58620506,127.0345774,,서울특별시 동대문구 제기로6길 5
형제집,37.58595648,127.0342648,,서울특별시 동대문구 제기로6길 14-2
Caf? 플로르,,,,
CAF?-I,37.58628449,127.0340928,,서울특별시 동대문구 제기로 10
카페 다니엘,37.58610106,127.0327794,,서울특별시 동대문구 안암로 122
파리바게뜨 Caf?,37.58294108,127.0301288,,서울특별시 동대문구 안암로 80
TUNAS,37.58533768,127.0303199,,서울특별시 성북구 인촌로24가길 13-2
고대고기집,37.58343848,127.0299206,,서울특별시 성북구 안암로 81
고대고기집 투,37.58343848,127.0299206,,서울특별시 성북구 안암로 81
고봉민김밥인,37.58544239,127.0295229,,서울특별시 성북구 인촌로24길 17
공.도나쓰,,,,
김밥천국(참살이끝),,,,
꽃돼지,37.58411243,127.0299073,,서울특별시 성북구 인촌로26길 50
남이네 분식,37.58531591,127.0308679,,서울특별시 안암동5가 86-112호
내가 찜한 닭,37.58480456,127.0292328,,서울특별시 성북구 인촌로24길 32
노랑통닭 고대점,37.5857054,127.0298491,,서울특별시 성북구 인촌로26길 12
노랑통닭(고대2호점),37.58570885,127.030456,,서울특별시 성북구 인촌로28길 12-3
놀부부대찌개+뷔페,37.58459913,127.0292599,,서울특별시 성북구 인촌로24길 36 송곡빌딩
니뽕내뽕,37.59124353,127.0177767,,서울특별시 성북구 동소문로20길 37-19
닭잡는 파로,37.5859757,127.0298401,,서울특별시 성북구 인촌로24길 3-44
도네누,37.5856515,127.029206,,서울특별시 성북구 인촌로24길 14
돌돌말아,37.58349262,127.0296082,,"서울특별시 성북구 인촌로24길 61 지상 2, 3층 (안암동5가)"
동네푸줏간,,,,
돼야지,37.58518637,127.0300617,,서울특별시 성북구 인촌로24가길 12
두끼,37.58370525,127.029649,,서울특별시 성북구 인촌로24길 55
뚝닭,37.58610535,127.0302206,,서울특별시 성북구 인촌로28길 2
랍스타바다,37.58438261,127.0303739,,서울특별시 성북구 인촌로26길 45-4
레드컵스,37.58349262,127.0296082,,서울특별시 성북구 인촌로24길 61
맛닭꼬,37.5849126,127.0295454,,서울특별시 성북구 인촌로24길 27
명랑핫도그,,,,
모이리타,37.58538481,127.0292059,,서울특별시 성북구 인촌로24길 20
미가박당,,,,
미각(안암역2번출구 2층),,,,
미각(참살이길 끝),,,,
미각(참살이길 중간),37.58555412,127.0295139,,서울특별시 성북구 인촌로24길 15 정암빌딩
미소야,37.58392868,127.029708,,서울특별시 성북구 인촌로24길 51
미스터국밥,37.58615211,127.0305512,,서울특별시 성북구 인촌로 102
바르다김선생,,,,서울특별시 성북구 인촌로24길 25 102-10 1층
반합,,,,
방콕익스프레스,37.58479727,127.0295589,,서울특별시 성북구 인촌로24길 31
배떼기곱창,37.58424221,127.0297715,,서울특별시 성북구 인촌로26길 42-3
베나레스,37.5849126,127.0295454,,서울특별시 성북구 인촌로24길 27
보드람치킨,37.58362944,127.0301336,,서울특별시 성북구 안암로 85
본죽,37.58614163,127.0292469,,서울특별시 성북구 인촌로 90
봉추찜닭,37.58613071,127.0296681,,서울특별시 성북구 인촌로24길 3-3
북경양꼬치,37.58583518,127.0297042,,서울특별시 성북구 인촌로24길 3-36
비나 2호점,37.58596492,127.0297088,,서울특별시 성북구 인촌로24길 3-42
빨간모자피자,37.58418432,127.030641,,서울특별시 성북구 안암로 91
빨봉분식,37.58466393,127.0295588,,서울특별시 성북구 인촌로24길 35
사마리칸트,37.58479727,127.0295589,,서울특별시 성북구 인촌로24길 31
사보텐,37.58400447,127.0292914,,서울특별시 성북구 인촌로24길 48
산적,37.58408714,127.0301428,,서울특별시 성북구 인촌로26길 51 진영빌딩
삼통치킨(참살이길 입구),37.58611273,127.0295187,,서울특별시 성북구 인촌로 92
삼통치킨(참살이길 중간),37.58538481,127.0292059,,서울특별시 성북구 인촌로24길 20
상호야초밥,37.58408714,127.0301428,,서울특별시 성북구 인촌로26길 51 진영빌딩
서동낙지,37.58548932,127.029215,,서울특별시 성북구 인촌로24길 16
서브웨이,37.58614889,127.0290567,,서울특별시 성북구 인촌로 88
